"","gear is only recorded at 
the start of boss fights! cheap or bad enchants id [only slot]","name","","minimum required gem quality rare excluded gear id","name","yes no ","list players with no issues? exclude Mother Shahraz ","title  zone  date  Item [Issue]","geilster raid (Gruul's Lair in 0:25:43, Magtheridon's Lair in 0:07:34) Gruul's Lair March 30, 2026 17:45:58 Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]","Item [Issue]"
"","724 [7]","Boots - 3 Sta","","30312","Infinity Blade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","66 [7]","Boots - 1 Sta","","30313","Staff of Disintegration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","908 [4]","Chest - 50 HP","","30314","Phaseshift Bulwark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","850 [4]","Chest - 35 HP","","30316","Devastation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","254 [4]","Chest - 25 HP","","30317","Cosmic Infuser","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","242 [4]","Chest - 15 HP","","30318","Netherstrand Longbow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","41 [4]","Chest - 5 HP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","913 [4]","Chest - 65 Mana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","857 [4]","Chest - 50 Mana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","843 [4]","Chest - 30 Mana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","246 [4]","Chest - 20 Mana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","24 [4]","Chest - 5 Mana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","928 [4]","Chest - 3 Stats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","866 [4]","Chest - 2 Stats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","847 [4]","Chest - 1 Stats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","63 [4]","Chest - 25 Absorb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","44 [4]","Chest - 10 Absorb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","910 [14]","Cloak - Stealth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","903 [14]","Cloak - 3 Res","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","65 [14]","Cloak - 1 Res","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2463 [14]","Cloak - 7 FR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","256 [14]","Cloak - 5 FR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1889 [14]","Cloak - 70 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","884 [14]","Cloak - 50 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","848 [14]","Cloak - 30 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","744 [14]","Cloak - 20 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","783 [14]","Cloak - 10 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","247 [14]","Cloak - 1 Agi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","852 [16]","Shield - 5 Sta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","724 [16]","Shield - 3 Sta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","66 [16]","Shield - 1 Sta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","907 [16]","Shield - 7 Spi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","851 [16]","Shield - 5 Spi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","255 [16]","Shield - 3 Spi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","848 [16]","Shield - 30 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1704 [16]","Shield - Thor Spike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","463 [16]","Shield - Mith Spike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","43 [16]","Shield - Iron Spike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2503","3 Def","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1843","40 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","18","32 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","17","24 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","16","16 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","15","8 Armor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1903","Weapon - 9 Spi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","255","Weapon - 3 Spi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1904","Weapon - 9 Int","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","723","Weapon - 3 Int","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1896","Weapon - 9 Dmg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","963","Weapon - 7 Dmg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","943","Weapon - 3 Dmg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","241","Weapon - 2 Dmg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2443","Weapon - 7 Frost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1899","Weapon - Unholy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1898","Weapon - Lifesteal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","803","Weapon - Fiery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","854","Weapon - Elemental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","805","Weapon - 4 Dmg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","943","Weapon - 3 Dmg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2646","Weapon - 25 Agi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1887 [7]","Boots - 7 Agi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","929 [7]","Boots - 7 Sta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1886 [8]","Bracers - 9 Sta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1885 [8]","Bracers - 9 Str","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1891 [4]","Chest - 4 Stats","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1893 [4]","Chest - 100 Mana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2934 [9]","Gloves - Blasting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","927 [9]","Gloves - 7 Str","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","929 [16]","Shield - 7 Sta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2568","Weapon - 22 Int","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2938 [14]","Cloak - Spell Pen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2745","Legs - Silver Thread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2747","Legs - Mystic Thread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2606","Shoulder - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2605","Shoulder - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2604","Shoulder - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2996","Shoulder - Scryer Hon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2990","Shoulder - Scryer Hon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2992","Shoulder - Scryer Hon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2994","Shoulder - Scryer Hon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2981","Shoulder - Aldor Hon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2979","Shoulder - Aldor Hon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2983","Shoulder - Aldor Hon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2977","Shoulder - Aldor Hon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2591","Head/Legs - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2586","Head/Legs - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2588","Head/Legs - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2584","Head/Legs - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2590","Head/Legs - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2585","Head/Legs - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2587","Head/Legs - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2589","Head/Legs - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2583 [6]","Head/Legs - ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","911","Boots - Minor Speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1900","Weapon - Crusader","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2841 [0]","Heavy Knothide Kit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2792","Knothide Kit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2841 [2]","Heavy Knothide Kit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2841 [4]","Heavy Knothide Kit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2841 [6]","Heavy Knothide Kit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2841 [7]","Heavy Knothide Kit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","930 [9]","Gloves - Mount Speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","464 [7]","Boots - Mount Speed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3010","Legs - 40AP/10Crit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2669","Weapon - 40SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","< enter custom lines below here","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
