"16470","Kara","Ghostly Philantropist","5","Ghostly Philantropist","Geisterhafter Philanthrop","幽灵慈善家","Бестелесный филантроп","Philantrope fantomatique","","","","- 5 Ghostly Philantropist (ID: 16470)","","","","","","","661","16488","","","","","","","",""
"","Kara","Ghastly Haunt or Trapped Soul","6","Ghastly Haunt or Trapped Soul","Grauenhafte Spukgestalt oder Gefangene Seele","苍白的鬼魂 或 被禁锢的幽魂","Жуткое привидение или Пленная душа","Hantise ignoble ou Âme piégée","","","","- 6 Ghastly Haunt or Trapped Soul (ID: 16481,16482)","","","","","","","662","16492","","","","","","","",""
"16485","Kara","Arcane Watchman","2","Arcane Watchman","Arkanwachmann","奥术看守","Волшебный смотритель","Veilleur arcanique","","","","- 2 Arcane Watchman (ID: 16485)","","","","","","","50652","16485","","","","","","","",""
"16488","Kara","Arcane Anomaly","5","Arcane Anomaly","Arkananomalie","奥术畸体","Волшебная аномалия","Anomalie arcanique","","","","- 5 Arcane Anomaly (ID: 16488)","","","","","","","50653","16491","","","","","","","",""
"16504","Kara","Arcane Protector","3","Arcane Protector","Arkanbeschützer","奥术保卫者","Волшебный заступник","Protecteur arcanique","","","","- 3 Arcane Protector (ID: 16504)","","","","","","","50654","16504","","","","","","","",""
"16491","Kara","Mana Feeder","3","Mana Feeder","Manaschlinger","法力喂食者","Маноед","Nourrisseur de mana","","","","- 3 Mana Feeder (ID: 16491)","","","","","","","50655","16529","","","","","","","",""
"16529","Kara","Magical Horror","1","Magical Horror","Magischer Schrecken","魔法恐魔","Магический ужас","Horreur magique","","","","- 1 Magical Horror (ID: 16529)","","","","","","","50656","16530","","","","","","","",""
"16525","Kara","Spell Shade","18","Spell Shade","Zauberschemen","法术之影","Чародейская тень","Ombre incantatrice","","","","- 18 Spell Shade (ID: 16525)","","","","","","","50657","16525","","","","","","","",""
"16540","Kara","Shadow Pillager","1","Shadow Pillager","Schattenplünderer","暗影掠夺者","Темный погромщик","Pilleur d'ombre","","","","- 1 Shadow Pillager (ID: 16540)","","","","","","","50658","16544","","","","","","","",""
"16526","Kara","Sorcerous Shade","3","Sorcerous Shade","Magieschemen","巫术之影","Колдовская тень","Ombre ensorceleuse","","","","- 3 Sorcerous Shade (ID: 16526)","","","","","","","50659","16545","","","","","","","",""
"","Kara","Ethereal Thief or Ethereal Spellfilcher","3","Ethereal Thief or Ethereal Spellfilcher","Astraler Dieb oder Astraler Zauberfresser","虚灵盗贼 或 虚灵窃法者","Эфириал-вор или Эфириал-чаролов","Larron éthérien ou Pique-sort éthérien","","","","- 3 Ethereal Thief or Ethereal Spellfilcher (ID: 16544,16545)","","","","","","","50660","16596","","","","","","","",""
"16596","Kara","Greater Fleshbeast","1","Greater Fleshbeast","Große Fleischbestie","大型血肉兽","Большой мясожор","Bête de chair supérieure","","","","- 1 Greater Fleshbeast (ID: 16596)","","","","","","","50661","16595","","","","","","","",""
"16595","Kara","Fleshbeast","4","Fleshbeast","Fleischbestie","血肉兽","Мясожор","Bête de chair","","","","- 4 Fleshbeast (ID: 16595)","","","","","","","50662","15550","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","15687","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","16457","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","15691","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","15688","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","16524","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","15690","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","15689","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","17225","","","","","","","",""
